threshold,fpr,fnr
0.99998254,0.00000000,1.00000000
0.99998254,0.00000000,0.99704142
0.99991751,0.00000000,0.99408284
0.99984616,0.00000964,0.99408284
0.99982762,0.00001927,0.99408284
0.99982119,0.00002891,0.99408284
0.99981678,0.00003855,0.99408284
0.99980956,0.00004819,0.99408284
0.99979520,0.00005782,0.99408284
0.99977875,0.00006746,0.99408284
0.99977469,0.00007710,0.99408284
0.99975371,0.00008673,0.99408284
0.99972749,0.00009637,0.99408284
0.99970782,0.00010601,0.99408284
0.99968755,0.00011564,0.99408284
0.99967813,0.00012528,0.99408284
0.99967098,0.00012528,0.99112426
0.99965501,0.00013492,0.99112426
0.99965197,0.00014456,0.99112426
0.99965155,0.00015419,0.99112426
0.99965036,0.00016383,0.99112426
0.99964380,0.00017347,0.99112426
0.99964052,0.00018310,0.99112426
0.99964011,0.00019274,0.99112426
0.99962038,0.00020238,0.99112426
0.99960041,0.00021202,0.99112426
0.99959964,0.00022165,0.99112426
0.99959940,0.00023129,0.99112426
0.99957919,0.00024093,0.99112426
0.99956191,0.00025056,0.99112426
0.99954683,0.00026020,0.99112426
0.99954414,0.00026984,0.99112426
0.99953187,0.00027947,0.99112426
0.99952435,0.00027947,0.98816568
0.99951375,0.00028911,0.98816568
0.99950373,0.00029875,0.98816568
0.99950218,0.00030839,0.98816568
0.99950147,0.00031802,0.98816568
0.99949777,0.00032766,0.98816568
0.99948967,0.00033730,0.98816568
0.99948746,0.00034693,0.98816568
0.99948633,0.00035657,0.98816568
0.99947834,0.00036621,0.98816568
0.99947679,0.00037585,0.98816568
0.99947619,0.00038548,0.98816568
0.99946368,0.00039512,0.98816568
0.99946004,0.00040476,0.98816568
0.99944520,0.00041439,0.98816568
0.99944407,0.00042403,0.98816568
0.99944204,0.00043367,0.98816568
0.99943781,0.00044331,0.98816568
0.99943626,0.00045294,0.98816568
0.99942863,0.00046258,0.98816568
0.99942750,0.00047222,0.98816568
0.99942398,0.00048185,0.98816568
0.99940658,0.00049149,0.98816568
0.99939823,0.00050113,0.98816568
0.99939406,0.00051076,0.98816568
0.99938428,0.00052040,0.98816568
0.99938416,0.00053004,0.98816568
0.99938363,0.00053968,0.98816568
0.99937379,0.00054931,0.98816568
0.99936104,0.00055895,0.98816568
0.99935687,0.00056859,0.98816568
0.99934793,0.00057822,0.98816568
0.99934721,0.00058786,0.98816568
0.99934399,0.00059750,0.98816568
0.99934250,0.00060714,0.98816568
0.99933755,0.00061677,0.98816568
0.99933338,0.00062641,0.98816568
0.99933237,0.00063605,0.98816568
0.99932170,0.00064568,0.98816568
0.99931979,0.00065532,0.98816568
0.99931669,0.00066496,0.98816568
0.99931562,0.00067459,0.98816568
0.99931145,0.00068423,0.98816568
0.99931121,0.00069387,0.98816568
0.99930978,0.00070351,0.98816568
0.99930459,0.00071314,0.98816568
0.99929523,0.00072278,0.98816568
0.99928486,0.00073242,0.98816568
0.99928415,0.00074205,0.98816568
0.99928129,0.00075169,0.98816568
0.99926537,0.00076133,0.98816568
0.99926412,0.00077097,0.98816568
0.99925053,0.00077097,0.98520710
0.99924433,0.00078060,0.98520710
0.99924415,0.00079024,0.98520710
0.99924254,0.00079988,0.98520710
0.99923325,0.00080951,0.98520710
0.99922717,0.00081915,0.98520710
0.99922633,0.00082879,0.98520710
0.99922341,0.00083842,0.98520710
0.99922228,0.00084806,0.98520710
0.99922168,0.00085770,0.98520710
0.99921590,0.00086734,0.98520710
0.99921143,0.00087697,0.98520710
0.99920213,0.00088661,0.98520710
0.99920040,0.00089625,0.98520710
0.99919701,0.00090588,0.98520710
0.99919462,0.00091552,0.98520710
0.99919033,0.00092516,0.98520710
0.99918783,0.00093480,0.98520710
0.99918598,0.00094443,0.98520710
0.99918234,0.00095407,0.98520710
0.99918163,0.00096371,0.98520710
0.99917442,0.00097334,0.98520710
0.99917150,0.00098298,0.98520710
0.99916708,0.00099262,0.98520710
0.99916500,0.00100226,0.98520710
0.99916434,0.00101189,0.98520710
0.99916178,0.00102153,0.98520710
0.99915785,0.00103117,0.98520710
0.99915051,0.00104080,0.98520710
0.99915045,0.00105044,0.98520710
0.99914652,0.00106008,0.98520710
0.99914414,0.00106971,0.98520710
0.99914205,0.00107935,0.98520710
0.99913931,0.00108899,0.98520710
0.99913251,0.00109863,0.98520710
0.99913114,0.00110826,0.98520710
0.99912739,0.00111790,0.98520710
0.99912691,0.00112754,0.98520710
0.99911916,0.00113717,0.98520710
0.99910843,0.00114681,0.98520710
0.99910474,0.00115645,0.98520710
0.99908304,0.00116609,0.98520710
0.99908233,0.00117572,0.98520710
0.99908197,0.00118536,0.98520710
0.99908173,0.00119500,0.98520710
0.99907458,0.00120463,0.98520710
0.99907392,0.00121427,0.98520710
0.99906766,0.00122391,0.98520710
0.99906349,0.00123354,0.98520710
0.99905181,0.00124318,0.98520710
0.99904311,0.00125282,0.98520710
0.99903667,0.00126246,0.98520710
0.99903619,0.00127209,0.98520710
0.99903488,0.00128173,0.98520710
0.99902904,0.00129137,0.98520710
0.99902523,0.00130100,0.98224852
0.99902403,0.00131064,0.98224852
0.99902225,0.00132028,0.98224852
0.99901867,0.00132992,0.98224852
0.99901825,0.00132992,0.97928994
0.99899822,0.00133955,0.97928994
0.99899590,0.00134919,0.97928994
0.99899513,0.00135883,0.97928994
0.99899495,0.00136846,0.97928994
0.99899489,0.00137810,0.97928994
0.99899334,0.00138774,0.97928994
0.99899209,0.00139737,0.97928994
0.99898881,0.00140701,0.97928994
0.99898267,0.00141665,0.97928994
0.99898058,0.00142629,0.97928994
0.99897826,0.00143592,0.97928994
0.99897707,0.00144556,0.97928994
0.99897182,0.00145520,0.97928994
0.99896783,0.00146483,0.97928994
0.99895895,0.00147447,0.97928994
0.99895644,0.00148411,0.97928994
0.99895042,0.00149375,0.97928994
0.99894798,0.00150338,0.97928994
0.99894774,0.00151302,0.97928994
0.99894464,0.00152266,0.97928994
0.99893641,0.00153229,0.97928994
0.99893606,0.00154193,0.97928994
0.99893218,0.00155157,0.97928994
0.99893063,0.00156121,0.97928994
0.99892712,0.00157084,0.97928994
0.99892521,0.00158048,0.97928994
0.99891520,0.00159012,0.97928994
0.99890387,0.00159975,0.97928994
0.99889690,0.00160939,0.97928994
0.99889469,0.00161903,0.97928994
0.99889433,0.00162866,0.97928994
0.99888980,0.00163830,0.97928994
0.99888766,0.00164794,0.97928994
0.99888730,0.00165758,0.97928994
0.99888533,0.00166721,0.97928994
0.99888527,0.00167685,0.97928994
0.99888158,0.00168649,0.97928994
0.99888003,0.00169612,0.97928994
0.99887085,0.00170576,0.97928994
0.99887025,0.00171540,0.97928994
0.99886918,0.00172504,0.97928994
0.99886364,0.00172504,0.97633136
0.99886346,0.00173467,0.97633136
0.99885118,0.00174431,0.97633136
0.99883938,0.00175395,0.97633136
0.99882895,0.00176358,0.97633136
0.99882722,0.00177322,0.97633136
0.99882340,0.00178286,0.97633136
0.99882209,0.00179249,0.97633136
0.99881965,0.00180213,0.97633136
0.99881959,0.00181177,0.97633136
0.99881309,0.00182141,0.97633136
0.99880421,0.00183104,0.97633136
0.99880153,0.00184068,0.97633136
0.99879891,0.00185032,0.97633136
0.99879825,0.00185995,0.97633136
0.99879664,0.00186959,0.97633136
0.99879348,0.00187923,0.97633136
0.99879324,0.00188887,0.97633136
0.99879026,0.00189850,0.97633136
0.99878740,0.00190814,0.97633136
0.99877906,0.00191778,0.97633136
0.99877840,0.00192741,0.97633136
0.99877834,0.00193705,0.97633136
0.99877584,0.00194669,0.97633136
0.99877059,0.00195632,0.97633136
0.99876380,0.00196596,0.97633136
0.99876273,0.00197560,0.97633136
0.99875963,0.00198524,0.97633136
0.99875468,0.00199487,0.97633136
0.99875236,0.00200451,0.97633136
0.99874818,0.00201415,0.97633136
0.99874675,0.00202378,0.97633136
0.99874341,0.00203342,0.97633136
0.99873298,0.00204306,0.97633136
0.99872875,0.00205270,0.97633136
0.99872565,0.00206233,0.97633136
0.99872559,0.00207197,0.97633136
0.99872160,0.00208161,0.97633136
0.99871778,0.00210088,0.97633136
0.99871182,0.00211052,0.97633136
0.99871045,0.00212015,0.97633136
0.99870783,0.00212979,0.97633136
0.99870765,0.00213943,0.97633136
0.99870396,0.00214907,0.97633136
0.99870276,0.00215870,0.97633136
0.99870253,0.00216834,0.97633136
0.99870235,0.00217798,0.97633136
0.99869931,0.00218761,0.97633136
0.99869895,0.00219725,0.97633136
0.99869680,0.00220689,0.97633136
0.99869239,0.00221653,0.97633136
0.99868631,0.00222616,0.97633136
0.99868584,0.00223580,0.97633136
0.99867630,0.00225507,0.97633136
0.99867535,0.00226471,0.97633136
0.99867427,0.00227435,0.97633136
0.99867278,0.00228399,0.97633136
0.99866557,0.00229362,0.97633136
0.99865890,0.00230326,0.97633136
0.99865675,0.00231290,0.97633136
0.99864966,0.00232253,0.97633136
0.99864537,0.00233217,0.97633136
0.99863118,0.00234181,0.97633136
0.99862897,0.00235144,0.97633136
0.99862742,0.00236108,0.97633136
0.99862552,0.00237072,0.97633136
0.99862540,0.00238036,0.97633136
0.99862397,0.00238999,0.97633136
0.99861169,0.00239963,0.97633136
0.99861127,0.00240927,0.97633136
0.99861050,0.00241890,0.97633136
0.99860471,0.00242854,0.97633136
0.99860418,0.00243818,0.97633136
0.99860227,0.00244782,0.97633136
0.99859995,0.00245745,0.97633136
0.99858892,0.00246709,0.97633136
0.99858516,0.00247673,0.97633136
0.99857867,0.00248636,0.97633136
0.99857831,0.00249600,0.97633136
0.99857807,0.00251527,0.97633136
0.99856418,0.00252491,0.97633136
0.99856406,0.00253455,0.97633136
0.99856007,0.00254419,0.97633136
0.99855947,0.00255382,0.97633136
0.99855900,0.00256346,0.97633136
0.99855006,0.00257310,0.97633136
0.99854636,0.00258273,0.97633136
0.99853802,0.00260201,0.97633136
0.99853790,0.00261165,0.97633136
0.99853289,0.00262128,0.97633136
0.99852753,0.00263092,0.97633136
0.99852729,0.00264056,0.97633136
0.99852580,0.00265019,0.97633136
0.99852180,0.00265983,0.97633136
0.99851906,0.00266947,0.97633136
0.99851692,0.00267910,0.97633136
0.99851501,0.00268874,0.97633136
0.99851358,0.00269838,0.97633136
0.99851334,0.00270802,0.97633136
0.99850976,0.00271765,0.97633136
0.99850553,0.00272729,0.97633136
0.99850470,0.00273693,0.97633136
0.99850333,0.00274656,0.97633136
0.99850130,0.00275620,0.97633136
0.99850011,0.00276584,0.97633136
0.99849921,0.00277548,0.97633136
0.99849689,0.00278511,0.97633136
0.99848813,0.00279475,0.97633136
0.99848032,0.00280439,0.97633136
0.99847996,0.00281402,0.97633136
0.99847651,0.00282366,0.97633136
0.99847525,0.00283330,0.97633136
0.99847329,0.00284294,0.97633136
0.99846941,0.00285257,0.97633136
0.99846810,0.00286221,0.97633136
0.99845839,0.00287185,0.97633136
0.99845165,0.00288148,0.97633136
0.99845022,0.00289112,0.97633136
0.99844980,0.00290076,0.97633136
0.99844772,0.00291039,0.97633136
0.99844307,0.00292003,0.97633136
0.99843544,0.00292967,0.97633136
0.99843478,0.00293931,0.97633136
0.99843234,0.00294894,0.97633136
0.99842888,0.00295858,0.97633136
0.99841642,0.00296822,0.97633136
0.99841392,0.00297785,0.97633136
0.99840975,0.00298749,0.97633136
0.99840438,0.00299713,0.97633136
0.99840176,0.00300677,0.97633136
0.99840105,0.00301640,0.97633136
0.99839938,0.00302604,0.97633136
0.99839044,0.00303568,0.97633136
0.99838829,0.00304531,0.97633136
0.99838239,0.00305495,0.97633136
0.99837953,0.00306459,0.97633136
0.99837929,0.00307422,0.97633136
0.99837458,0.00308386,0.97633136
0.99836111,0.00309350,0.97633136
0.99835503,0.00310314,0.97633136
0.99834859,0.00311277,0.97337278
0.99834704,0.00312241,0.97337278
0.99834669,0.00313205,0.97337278
0.99833727,0.00314168,0.97337278
0.99833369,0.00315132,0.97337278
0.99832767,0.00316096,0.97337278
0.99832582,0.00317060,0.97337278
0.99832523,0.00318023,0.97337278
0.99831641,0.00318987,0.97337278
0.99830854,0.00319951,0.97337278
0.99830794,0.00320914,0.97337278
